396,Yakushima Airport,RJFC,JP,AS,124
397,Aupaluk Airport,CYLA,CA,NA,119
398,John F Kennedy Memorial Airport,KASX,US,NA,827
399,Kaohsiung International Airport,RCKH,TW,AS,31
400,Zhigansk Airport,UEVV,RU,AS,292
401,Tipton Airport,KFME,US,NA,150
402,Fletcher Field,KCKM,US,NA,173
403,Lemwerder Airport,EDWD,DE,EU,20
404,Baie Comeau Airport,CYBC,CA,NA,71
405,Jining Qufu Airport,ZSJG,CN,AS,134
406,Dargaville Aerodrome,NZDA,NZ,OC,10
407,Kao Airport,WAMK,ID,AS,27
408,Tanbar Airport,YTNB,AU,OC,344
409,Clinton Municipal Airport,KCWI,US,NA,708
410,Aramac Airport,YAMC,AU,OC,232
411,Mopti Airport,GAMB,ML,AF,906
412,Debre Tabor Airport,HADT,ET,AF,8490
413,Menorca Airport,LEMH,ES,EU,302
414,Kenieba Airport,GAKA,ML,AF,449
415,Wanxian Airport,ZUWX,CN,AS,0
416,Donoi Airport,ZMDN,MN,AS,5800
417,Mocopulli Airport,SCPQ,CL,SA,528
418,Rafaï Airport,FEGR,CF,AF,1759
419,Kitsissuarsuit Heliport,BGKT,GL,NA,18
420,Gora Airstrip,AYGX,PG,OC,2497
421,Sioux Gateway Col. Bud Day Field,KSUX,US,NA,1098
422,Cengiz Topel Airport,LTBQ,TR,AS,182
423,Carlos Miguel Gimenez Airport,SGPI,PY,SA,249
424,Del Bajío International Airport,MMLO,MX,NA,5956
425,Bertoua Airport,FKKO,CM,AF,2133
426,Blackall Airport,YBCK,AU,OC,928
427,Mataiva Airport,NTGV,PF,OC,11
428,Kulgera Airport,,AU,OC,0
429,Les Sables-d'Olonne Talmont Airport,LFOO,FR,EU,105
430,Pikwitonei Airport,CZMN,CA,NA,630
431,Sumbe Airport,FNSU,AO,AF,36
432,Ayapel Airport,,CO,SA,120
433,Al Ghaidah International Airport,OYGD,YE,AS,134
434,Miskolc Airport,LHMC,HU,EU,390
435,Jipijapa Airport,SEJI,EC,SA,223
436,Lhok Sukon Airport,WITL,ID,AS,28
437,Banaina Airport,,ID,AS,60
438,Bosset Airport,AYET,PG,OC,80
439,Luke Air Force Base,KLUF,US,NA,1085
440,Mactan Cebu International Airport,RPVM,PH,AS,31
441,Luzhou Airport,ZULZ,CN,AS,0
442,Brigadeiro Camarão Airport,SBVH,BR,SA,2018
443,Launceston Airport,YMLT,AU,OC,562
444,Lauro Kurtz Airport,SBPF,BR,SA,2376
445,Svalbard Airport Longyear,ENSB,NO,EU,88
446,Captain Ramon Xatruch Airport,MPLP,PA,NA,30
447,Matamata Glider Airport,NZMA,NZ,OC,180
448,Quimper-Cornouaille Airport,LFRQ,FR,EU,297
449,Cheongju International Airport/Cheongju Air Base (K-59/G-513),RKTU,KR,AS,191
450,Kempsey Airport,YKMP,AU,OC,54
451,Chevak Airport,PAVA,US,NA,75
452,El Paso International Airport,KELP,US,NA,3959
453,Qishn Airport,OYQN,YE,AS,98
454,Maradi Airport,DRRM,NE,AF,1240
455,Greenville Sinoe Airport,GLGE,LR,AF,10
456,Altiport L'Alpe d'Huez - Henri GIRAUD,LFHU,FR,EU,6102
457,Napperby Airport,YNPB,AU,OC,2135
458,Shanghai Hongqiao International Airport,ZSSS,CN,AS,10
459,Tuluksak Airport,TLT,US,NA,30
460,Dobbins Air Reserve Base,KMGE,US,NA,1068
461,Amakusa Airport,RJDA,JP,AS,340
462,Daniel Oduber Quiros International Airport,MRLB,CR,NA,270
463,Malatya Erhaç Airport,LTAT,TR,AS,2828
464,El Dorado International Airport,SKBO,CO,SA,8361
465,Docker River Airport,YDVR,AU,OC,589
466,Baracoa Airport,SKMG,CO,SA,178
467,Vatulele Airport,NFVL,FJ,OC,36
468,Formosa Airport,SARF,AR,SA,193
469,Akiachak Airport,Z13,US,NA,23
470,Coronel FAP Francisco Secada Vignetta International Airport,SPQT,PE,SA,306
471,Tlokoeng Airport,FXTK,LS,AF,7000
472,Ben Bruce Memorial Airpark,4TE8,US,NA,44
473,Ujae Atoll Airport,,MH,OC,29
474,Cologne Bonn Airport,EDDK,DE,EU,302
475,Phu Quoc International Airport,VVPQ,VN,AS,37
476,General Mitchell International Airport,KMKE,US,NA,723
477,Wabo Airport,AYWB,PG,OC,132
478,Castellón-Costa Azahar Airport,LECH,ES,EU,1145
479,Dezful Airport,OIAD,IR,AS,474
480,Palungtar Airport,VNGK,NP,AS,1500
481,Tenakee Seaplane Base,TKE,US,NA,0
482,Taliabu Island Airport,WAPT,ID,AS,9
483,Kankesanturai Airport,VCCJ,LK,AS,33
484,Luau Airport,FNUA,AO,AF,3609
485,Hillenbrand Industries Airport,KHLB,US,NA,973
486,Rinkenberger Restricted Landing Area,3IS8,US,NA,808
487,Smithton Airport,YSMI,AU,OC,31
488,Naoro Airport,,PG,OC,2372
489,Aden International Airport,OYAA,YE,AS,7
490,Tenerife South Airport,GCTS,ES,EU,209
491,Wunnumin Lake Airport,CKL3,CA,NA,819
492,Abu Rudeis Airport,,EG,AS,39
493,Necocli Airport,SKNC,CO,SA,19
494,Ranger Municipal Airport,F23,US,NA,1470
495,Findlay Airport,KFDY,US,NA,813
496,Puerto Paez Airport,SVDZ,VE,SA,146
497,Sialkot Airport,OPST,PK,AS,837
498,Palestine Municipal Airport,KPSN,US,NA,423
